product_id,product_name,category,sub_category,brand,price,discount,final_price,stock,rating,reviews_count,supplier,country,city,warehouse_id,delivery_time_days,return_rate,is_active,launch_year,weight_kg,volume_l,color,material,warranty_years,sales_last_month,sales_last_3_months,sales_last_year,profit_margin,cost_price,revenue_last_month,revenue_last_year,views,cart_additions,wishlist_additions,conversion_rate,avg_session_time,bounce_rate,seo_score,ad_spend,ad_clicks,ad_conversions,seasonality_index,restock_frequency_days,damaged_returns,customer_complaints,net_promoter_score,supplier_rating,shipping_cost,tax_rate
2508,Product_2508,Home,Toys,BrandA,138.31,0.07,128.63,662,4.41,1410,Supplier_33,India,Shanghai,16,1,0.2,1,2021,32.06,5.9,Black,Metal,5,174,1112,3748,0.37,77.21,57368.98,688427.76,80353,28120,13755,0.176,140.4,0.17,68,8938.06,9327,1018,0.94,60,47,174,-8,2.09,15.08,0.2
2509,Product_2509,Electronics,Toys,BrandC,963.96,0.46,520.54,808,4.15,2956,Supplier_41,Germany,New York,12,6,0.21,0,2017,40.83,95.92,Blue,Plastic,3,727,520,2215,0.41,566.98,40081.58,480978.96,27433,15817,28302,0.11,83.66,0.75,51,6415.18,7250,4781,1.35,45,78,20,14,4.1,17.11,0.18
2510,Product_2510,Sports,Toys,BrandA,773.37,0.14,665.1,618,3.39,3163,Supplier_48,Germany,Shanghai,9,14,0.28,0,2020,15.1,62.54,Blue,Metal,3,13,535,4827,0.44,582.75,190883.7,2290604.4,89262,7932,24205,0.166,278.37,0.39,52,1636.72,7424,3025,0.64,52,54,5,33,1.73,23.17,0.15
2511,Product_2511,Clothing,Electronics,BrandA,506.7,0.26,374.96,684,2.02,3363,Supplier_45,USA,Mumbai,7,8,0.06,0,2024,25.72,6.02,Green,Fabric,0,702,834,9340,0.31,344.11,56618.96,679427.52,59637,22538,1422,0.017,233.1,0.18,99,881.36,1597,4650,1.15,1,8,53,-16,2.3,14.85,0.13
2512,Product_2512,Electronics,Home,BrandA,629.85,0.21,497.58,649,2.06,3161,Supplier_50,India,Mumbai,9,14,0.01,0,2013,4.56,58.88,Black,Metal,2,141,1175,5856,0.41,494.94,178631.22,2143574.64,95214,28223,17189,0.188,258.51,0.44,95,1175.73,7770,816,0.51,45,43,66,92,4.23,9.53,0.21
2513,Product_2513,Home,Clothing,BrandC,263.84,0.36,168.86,614,3.28,3293,Supplier_8,UK,Shanghai,19,7,0.08,0,2014,23.74,10.79,Black,Wood,3,431,1883,488,0.16,200.11,57918.98,695027.76,33013,42666,12042,0.168,69.75,0.52,81,5218.62,7069,1172,0.94,30,23,21,74,4.87,9.93,0.05
2514,Product_2514,Toys,Clothing,BrandC,811.32,0.42,470.57,622,3.88,883,Supplier_38,China,Berlin,2,10,0.21,1,2016,46.51,31.61,Red,Metal,5,344,1013,2413,0.23,699.86,163287.79,1959453.48,41214,15231,5796,0.092,264.87,0.4,58,1377.78,6307,3475,1.08,45,64,106,-92,2.65,16.2,0.14
2515,Product_2515,Toys,Home,BrandE,619.82,0.28,446.27,798,4.38,2234,Supplier_20,India,New York,4,14,0.24,1,2017,33.79,75.38,White,Plastic,1,316,2573,1299,0.34,438.3,157533.31,1890399.72,57745,10499,3140,0.107,193.57,0.73,71,7327.99,7446,2737,1.17,26,38,198,-61,1.39,2.6,0.12
2516,Product_2516,Home,Beauty,BrandE,63.03,0.19,51.05,388,4.06,752,Supplier_7,USA,London,1,14,0.28,1,2012,19.37,82.62,Black,Plastic,5,606,2686,5118,0.22,32.07,12303.05,147636.6,13501,34107,15045,0.173,62.11,0.88,88,4277.57,2533,2788,1.19,24,67,190,-46,1.44,38.09,0.17
2517,Product_2517,Home,Beauty,BrandE,144.18,0.18,118.23,80,3.77,2659,Supplier_22,USA,London,17,10,0.05,1,2017,16.53,22.67,Blue,Metal,4,14,1658,6128,0.14,98.33,30266.88,363202.56,27717,39723,18165,0.08,285.85,0.89,70,5222.56,4907,4421,0.79,33,34,65,34,3.98,14.86,0.24
2518,Product_2518,Home,Home,BrandC,332.73,0.02,326.08,121,2.27,2260,Supplier_25,USA,Mumbai,14,7,0.12,0,2011,18.99,46.99,Green,Metal,1,503,658,3324,0.47,258.39,151301.12,1815613.44,12670,23442,9832,0.142,42.63,0.5,71,6245.06,3563,346,1.06,22,46,139,-76,2.01,43.59,0.21
2519,Product_2519,Clothing,Sports,BrandD,17.57,0.12,15.46,69,4.11,3148,Supplier_11,India,Berlin,18,6,0.17,1,2016,49.86,50.88,White,Fabric,4,77,1644,1722,0.44,9.37,6508.66,78103.92,80967,23892,9916,0.074,245.81,0.88,52,3039.79,2420,1756,1.21,4,42,62,78,2.72,3.16,0.2
2520,Product_2520,Beauty,Beauty,BrandB,396.37,0.16,332.95,908,3.1,1238,Supplier_39,UK,New York,12,10,0.28,1,2022,21.78,99.47,White,Metal,2,594,882,1425,0.28,308.02,33960.9,407530.8,32071,29560,23954,0.089,67.69,0.81,61,2783.1,6501,2599,1.32,32,66,141,-16,3.39,31.08,0.21
2521,Product_2521,Home,Home,BrandD,468.01,0.24,355.69,39,2.46,2139,Supplier_2,China,Mumbai,19,8,0.24,0,2023,18.25,58.57,Green,Fabric,0,834,750,9382,0.34,312.84,33434.86,401218.32,93619,17585,4730,0.112,230.9,0.64,63,463.17,2172,3268,1.33,7,62,33,-51,1.7,39.41,0.12
2522,Product_2522,Beauty,Toys,BrandC,459.39,0.07,427.23,170,1.44,2384,Supplier_13,UK,Shanghai,6,8,0.07,1,2020,36.77,48.47,White,Plastic,1,730,2407,4838,0.29,326.22,129877.92,1558535.04,72796,18982,20508,0.145,187.98,0.49,68,6248.15,9136,3015,1.48,17,80,143,19,4.2,16.52,0.21
2523,Product_2523,Beauty,Beauty,BrandB,821.33,0.3,574.93,234,3.73,1050,Supplier_1,USA,New York,20,3,0.21,0,2017,21.99,94.17,Red,Metal,2,399,2574,3170,0.15,475.94,10348.74,124184.88,52144,17614,18295,0.013,109.8,0.12,73,4444.98,540,1073,1.46,59,72,49,96,4.74,36.93,0.11
2524,Product_2524,Electronics,Clothing,BrandC,715.27,0.28,514.99,451,4.29,2448,Supplier_35,Germany,London,11,13,0.04,1,2015,19.71,74.56,Red,Metal,0,914,1130,3438,0.14,407.38,58193.87,698326.44,98852,13745,13179,0.141,125.06,0.16,51,8263.74,3892,1734,1.42,43,78,193,-87,2.1,45.31,0.22
2525,Product_2525,Home,Home,BrandE,246.47,0.08,226.75,229,3.21,4450,Supplier_6,Germany,New York,17,1,0.16,1,2020,16.92,8.89,Blue,Wood,3,221,2220,4413,0.08,184.58,110427.25,1325127.0,49636,13344,2320,0.12,134.37,0.79,87,4238.24,4819,3215,1.07,49,29,123,-71,2.1,25.3,0.07
2526,Product_2526,Clothing,Toys,BrandD,517.14,0.21,408.54,248,4.86,3680,Supplier_29,Germany,Berlin,10,3,0.06,0,2014,6.07,90.98,Black,Metal,3,232,279,9795,0.11,367.07,14707.44,176489.28,26074,19269,25315,0.158,270.7,0.72,93,303.96,698,267,0.71,25,62,23,-18,4.08,30.88,0.2
2527,Product_2527,Clothing,Clothing,BrandB,604.23,0.17,501.51,57,3.95,3034,Supplier_4,USA,Shanghai,13,5,0.11,1,2017,27.59,77.42,Black,Wood,3,450,399,4452,0.3,414.55,76229.52,914754.24,32511,14363,6011,0.047,215.77,0.45,59,1077.47,8969,2288,1.3,11,1,166,84,2.5,22.53,0.06
2528,Product_2528,Clothing,Electronics,BrandC,599.63,0.2,479.7,446,2.01,252,Supplier_35,India,Mumbai,7,11,0.24,1,2018,40.46,43.41,Green,Fabric,0,539,1887,5547,0.46,470.27,479.7,5756.4,1361,21725,5196,0.047,122.72,0.66,64,7441.19,4785,4230,0.93,41,25,136,46,2.0,8.47,0.07
2529,Product_2529,Home,Electronics,BrandC,843.66,0.31,582.13,231,3.27,1098,Supplier_34,China,Mumbai,7,11,0.02,1,2017,10.5,11.97,Red,Metal,4,901,2622,1144,0.4,711.57,96633.58,1159602.96,16521,25621,29002,0.164,191.69,0.2,68,6998.39,5663,3409,1.43,23,86,63,-37,4.32,14.43,0.18
2530,Product_2530,Toys,Clothing,BrandB,529.72,0.47,280.75,470,4.46,2211,Supplier_45,China,New York,2,8,0.09,1,2016,22.86,72.97,Black,Wood,0,512,2858,5089,0.1,268.68,71029.75,852357.0,49758,2019,11432,0.058,291.36,0.46,56,3260.13,5506,4221,1.2,55,31,16,-84,3.2,9.82,0.06
2531,Product_2531,Electronics,Toys,BrandB,773.29,0.04,742.36,292,1.38,971,Supplier_8,Germany,Mumbai,16,10,0.15,1,2011,37.22,39.8,White,Plastic,0,625,2568,3064,0.24,628.91,70524.2,846290.4,31142,33570,24840,0.111,35.26,0.34,92,5349.17,183,4791,1.2,59,28,88,-72,1.24,48.2,0.13
2532,Product_2532,Sports,Toys,BrandE,366.82,0.35,238.43,696,1.08,3168,Supplier_14,Germany,Shanghai,15,14,0.11,1,2023,1.03,58.72,Black,Metal,3,45,1955,8085,0.07,232.65,91557.12,1098685.44,78427,23418,14747,0.081,268.93,0.6,57,9232.35,8103,2523,0.76,53,89,37,-29,4.14,14.24,0.11
2533,Product_2533,Electronics,Sports,BrandE,778.62,0.21,615.11,615,4.32,2586,Supplier_5,UK,Berlin,4,14,0.23,0,2020,44.82,0.94,Red,Metal,5,715,1288,982,0.06,632.57,259576.42,3114917.04,40476,43312,12010,0.091,109.59,0.47,85,9921.22,537,4970,1.02,44,68,19,-58,2.79,14.72,0.21
2534,Product_2534,Clothing,Home,BrandA,561.82,0.34,370.8,358,2.67,1429,Supplier_34,UK,Berlin,6,8,0.1,0,2024,21.96,21.43,Blue,Wood,1,26,633,5027,0.46,410.88,51912.0,622944.0,72594,46155,8330,0.094,90.82,0.5,98,2417.51,4084,3973,0.79,45,56,9,-13,4.56,35.07,0.24
2535,Product_2535,Home,Sports,BrandD,378.92,0.12,333.45,445,3.95,2599,Supplier_26,India,Mumbai,12,3,0.21,1,2024,48.32,44.83,White,Wood,2,330,722,5161,0.08,219.58,90698.4,1088380.8,47543,30193,17751,0.136,214.36,0.18,90,8439.93,7011,3214,1.14,40,30,137,60,2.32,21.4,0.15
2536,Product_2536,Electronics,Toys,BrandA,598.93,0.05,568.98,149,2.88,3393,Supplier_26,USA,Berlin,13,8,0.16,0,2018,31.61,54.89,White,Metal,3,514,323,6324,0.07,320.44,71122.5,853470.0,57912,9071,18433,0.135,28.06,0.81,66,5962.87,6487,3321,0.76,11,43,55,41,3.6,18.15,0.19
2537,Product_2537,Electronics,Clothing,BrandB,971.19,0.48,505.02,764,3.12,1104,Supplier_16,UK,Shanghai,20,3,0.23,1,2025,2.81,72.85,Blue,Plastic,2,540,65,5781,0.23,567.47,36866.46,442397.52,59265,31349,8785,0.11,235.85,0.43,93,5762.47,2238,3451,0.65,5,39,5,61,4.39,2.0,0.24
2538,Product_2538,Toys,Beauty,BrandC,384.07,0.22,299.57,453,1.76,2697,Supplier_18,China,Berlin,12,12,0.22,0,2014,9.23,89.7,Red,Plastic,2,306,1827,3386,0.2,339.78,115034.88,1380418.56,72243,2057,14759,0.158,65.55,0.84,60,9637.09,190,4924,1.43,59,14,9,-53,2.99,12.44,0.16
2539,Product_2539,Toys,Home,BrandC,205.88,0.1,185.29,379,1.28,3117,Supplier_7,China,Mumbai,4,6,0.06,0,2013,6.05,62.18,Red,Plastic,1,461,667,8028,0.17,163.74,53919.39,647032.68,53286,957,28066,0.04,248.22,0.82,74,6872.11,3840,3493,1.25,19,77,42,47,3.79,30.1,0.18
2540,Product_2540,Electronics,Sports,BrandA,311.29,0.04,298.84,667,2.32,4646,Supplier_38,China,Shanghai,9,10,0.27,1,2014,24.33,58.92,Black,Fabric,2,870,1172,6650,0.5,264.46,129098.88,1549186.56,64287,28783,4774,0.092,195.38,0.57,81,2755.1,5542,4911,0.98,55,49,33,4,1.93,33.72,0.22
2541,Product_2541,Electronics,Electronics,BrandD,868.0,0.34,572.88,481,3.63,3419,Supplier_9,UK,London,4,14,0.23,0,2025,29.48,36.15,Black,Plastic,3,338,2606,5941,0.35,511.8,191914.8,2302977.6,51505,29577,25156,0.044,266.5,0.88,82,5170.47,2928,2257,1.28,16,48,92,-62,3.39,36.61,0.07
2542,Product_2542,Sports,Clothing,BrandD,441.36,0.5,220.68,353,3.48,3163,Supplier_16,India,Mumbai,9,11,0.21,1,2023,21.93,81.63,White,Wood,3,397,865,5041,0.26,350.98,7944.48,95333.76,54429,25746,21781,0.019,272.3,0.65,54,3981.22,4136,3011,0.64,54,52,187,-68,4.71,48.47,0.2
2543,Product_2543,Clothing,Beauty,BrandC,295.24,0.33,197.81,288,3.97,308,Supplier_18,India,Mumbai,20,11,0.12,1,2018,14.02,54.36,Red,Metal,4,771,2231,5303,0.21,172.12,24924.06,299088.72,94489,22497,13954,0.109,295.82,0.79,53,9430.84,4368,1142,1.46,2,16,25,69,4.92,7.28,0.09
2544,Product_2544,Sports,Beauty,BrandE,453.89,0.01,449.35,590,4.76,779,Supplier_2,Germany,London,4,12,0.18,1,2024,10.27,84.05,Green,Plastic,0,12,62,9776,0.18,260.95,20670.1,248041.2,73936,37014,17318,0.186,24.46,0.73,55,8283.51,6777,3921,1.32,35,21,18,68,1.12,14.37,0.11
2545,Product_2545,Toys,Toys,BrandC,885.2,0.35,575.38,72,3.47,792,Supplier_44,UK,Berlin,18,6,0.19,0,2023,10.13,93.49,Black,Fabric,0,224,107,5089,0.25,498.53,105869.92,1270439.04,87295,31252,7609,0.097,220.58,0.33,87,7090.97,4262,2038,0.57,30,80,130,94,2.12,33.85,0.18
2546,Product_2546,Home,Beauty,BrandC,271.92,0.49,138.68,714,3.58,4194,Supplier_11,Germany,Shanghai,10,1,0.1,0,2011,46.53,58.09,Green,Fabric,3,610,1109,1207,0.5,217.02,16364.24,196370.88,24224,848,1306,0.168,198.5,0.24,74,9067.14,4762,255,1.26,24,21,132,-28,4.86,26.72,0.08
2547,Product_2547,Home,Electronics,BrandC,599.76,0.29,425.83,392,3.32,1506,Supplier_17,USA,New York,17,7,0.03,1,2020,32.91,4.02,Black,Wood,1,645,2654,232,0.42,333.41,70687.78,848253.36,24402,9847,4888,0.017,57.25,0.63,82,733.27,6977,3441,1.08,46,81,67,30,4.62,3.99,0.21
2548,Product_2548,Sports,Clothing,BrandC,827.7,0.18,678.71,48,3.54,2741,Supplier_21,China,London,5,9,0.04,0,2021,35.88,1.33,Blue,Plastic,2,72,1566,2930,0.31,687.08,81445.2,977342.4,60462,40319,13005,0.163,294.6,0.86,99,8577.39,8419,9,0.57,3,8,164,41,3.4,43.36,0.09
2549,Product_2549,Electronics,Home,BrandE,622.53,0.35,404.64,568,4.6,3226,Supplier_3,UK,Shanghai,7,9,0.14,0,2021,19.25,47.83,Green,Plastic,2,305,2153,7334,0.46,316.74,36417.6,437011.2,87546,32378,21023,0.017,92.64,0.82,68,7606.44,6267,2187,1.22,28,52,187,62,4.97,29.72,0.15
2550,Product_2550,Toys,Clothing,BrandE,586.41,0.28,422.22,682,2.96,251,Supplier_40,UK,Mumbai,7,4,0.25,1,2024,33.95,5.47,Blue,Plastic,1,280,1040,8573,0.5,400.67,22799.88,273598.56,50790,17751,7305,0.178,96.92,0.74,66,1128.97,2420,2144,0.58,31,51,84,37,3.98,30.82,0.13
2551,Product_2551,Clothing,Sports,BrandA,247.86,0.3,173.5,338,3.1,4330,Supplier_10,India,New York,5,1,0.12,1,2024,29.54,74.54,Blue,Plastic,1,729,2824,260,0.32,198.29,79636.5,955638.0,28388,34075,5593,0.07,189.02,0.61,50,6560.71,8936,1367,0.94,14,61,166,-61,4.78,49.45,0.09
2552,Product_2552,Sports,Toys,BrandE,418.38,0.27,305.42,983,1.57,4457,Supplier_19,USA,London,13,13,0.04,0,2020,1.55,30.7,Green,Wood,1,685,2392,4328,0.13,263.63,43064.22,516770.64,73387,44518,524,0.029,234.89,0.18,85,8322.94,3574,2387,0.8,14,100,119,-70,4.07,3.6,0.18
2553,Product_2553,Beauty,Toys,BrandE,576.48,0.21,455.42,333,1.48,3122,Supplier_21,USA,Berlin,17,2,0.26,1,2015,48.9,26.95,Blue,Wood,4,418,292,4702,0.46,384.46,137992.26,1655907.12,94480,42668,16541,0.018,96.94,0.67,79,5723.61,8471,2987,1.19,48,82,58,75,2.49,39.85,0.09
2554,Product_2554,Toys,Toys,BrandD,35.06,0.39,21.39,191,4.93,4216,Supplier_27,USA,Mumbai,19,10,0.13,1,2011,24.75,50.7,Green,Metal,2,795,1246,6498,0.06,23.85,4556.07,54672.84,50379,25884,2070,0.092,176.21,0.4,63,1047.87,3885,563,0.99,38,32,26,58,2.56,27.15,0.2
2555,Product_2555,Clothing,Clothing,BrandA,232.51,0.13,202.28,529,1.26,1850,Supplier_50,USA,New York,12,7,0.01,0,2022,44.94,71.19,White,Plastic,0,513,1557,9478,0.42,162.79,36410.4,436924.8,71847,44583,25713,0.066,203.77,0.7,93,6627.14,9471,1365,0.67,43,51,31,-56,3.21,35.51,0.09
2556,Product_2556,Sports,Beauty,BrandA,873.78,0.16,733.98,532,3.62,2065,Supplier_1,China,New York,4,10,0.09,0,2025,32.54,58.39,Green,Plastic,4,809,2123,489,0.24,605.91,179825.1,2157901.2,41547,15016,21704,0.125,40.74,0.66,64,6891.95,2553,2505,0.51,3,44,45,7,3.4,42.49,0.22
2557,Product_2557,Beauty,Electronics,BrandA,89.42,0.11,79.58,814,2.83,1271,Supplier_19,UK,Shanghai,1,7,0.28,0,2019,43.69,11.71,White,Wood,0,671,2343,4138,0.42,68.76,18144.24,217730.88,97046,3836,7289,0.039,247.3,0.13,71,6337.49,7309,1146,1.0,29,21,88,-58,3.56,10.49,0.06
2558,Product_2558,Toys,Toys,BrandD,516.03,0.26,381.86,181,4.66,944,Supplier_39,UK,London,3,2,0.18,0,2021,47.76,22.7,Blue,Metal,0,135,1472,9568,0.44,340.37,1527.44,18329.28,97035,3002,14328,0.093,222.04,0.88,74,7945.45,3521,117,0.57,7,5,117,-7,1.11,38.14,0.1
2559,Product_2559,Home,Toys,BrandE,926.14,0.17,768.7,821,1.36,764,Supplier_22,Germany,Shanghai,14,7,0.24,0,2024,40.92,12.58,White,Plastic,5,920,2743,3540,0.08,667.01,291337.3,3496047.6,90855,44851,3123,0.047,137.85,0.82,62,2337.96,8337,4319,1.19,33,10,38,-17,4.16,22.6,0.2
2560,Product_2560,Home,Home,BrandC,370.97,0.03,359.84,399,3.07,4082,Supplier_19,Germany,Shanghai,13,3,0.01,0,2021,19.92,96.07,White,Plastic,4,91,2054,9307,0.28,211.34,25908.48,310901.76,59022,10737,23341,0.082,149.69,0.75,55,6874.62,1314,4845,1.29,44,24,44,-92,2.48,32.61,0.06
2561,Product_2561,Sports,Clothing,BrandA,658.67,0.29,467.66,721,3.29,220,Supplier_13,USA,Shanghai,19,5,0.1,1,2019,36.85,68.58,Blue,Metal,0,193,540,5612,0.12,545.69,121123.94,1453487.28,31638,22477,9631,0.057,161.02,0.29,81,4071.53,188,3865,0.87,7,60,178,-24,1.87,14.25,0.12
2562,Product_2562,Home,Toys,BrandD,977.02,0.45,537.36,508,4.47,156,Supplier_32,China,Mumbai,9,8,0.02,1,2011,23.0,12.03,Green,Metal,2,115,510,3571,0.43,676.63,65020.56,780246.72,52254,18541,6189,0.147,63.78,0.8,90,3978.86,9215,4782,1.09,27,54,140,-26,3.85,45.68,0.22
2563,Product_2563,Clothing,Beauty,BrandB,783.81,0.32,532.99,547,1.15,1400,Supplier_36,China,New York,1,10,0.01,1,2014,49.87,40.82,White,Wood,5,378,2419,5111,0.26,482.35,67689.73,812276.76,89368,3617,280,0.071,214.3,0.58,65,3223.75,4431,3344,0.8,13,18,135,-68,4.59,14.34,0.09
2564,Product_2564,Clothing,Clothing,BrandC,938.58,0.26,694.55,204,3.81,4241,Supplier_24,UK,New York,6,8,0.26,0,2023,33.81,93.43,White,Wood,3,865,1163,695,0.22,556.64,10418.25,125019.0,84976,38411,20494,0.052,146.2,0.26,53,6086.4,5302,1129,1.39,34,2,117,-93,2.18,47.72,0.07
2565,Product_2565,Clothing,Toys,BrandC,50.1,0.13,43.59,216,4.09,543,Supplier_22,China,London,8,6,0.17,1,2013,26.27,81.7,Red,Fabric,4,576,935,1159,0.06,35.93,5710.29,68523.48,51906,24410,29241,0.154,233.13,0.66,77,7715.74,1682,3463,0.65,51,1,20,12,2.73,12.65,0.22
2566,Product_2566,Toys,Electronics,BrandC,952.55,0.46,514.38,306,3.26,4710,Supplier_3,India,Mumbai,4,2,0.05,0,2023,36.66,3.4,Green,Plastic,3,123,2399,1405,0.11,530.03,252046.2,3024554.4,32724,39431,8310,0.039,79.25,0.87,92,2328.11,1963,1040,0.63,47,83,178,-25,3.05,35.52,0.11
2567,Product_2567,Sports,Home,BrandB,734.27,0.04,704.9,430,2.12,1749,Supplier_38,UK,Mumbai,16,1,0.28,0,2023,0.58,78.84,Red,Metal,4,127,877,917,0.43,482.55,9868.6,118423.2,49809,28361,18792,0.026,136.17,0.27,82,2855.52,7626,3285,0.92,28,30,19,86,1.22,12.0,0.07
2568,Product_2568,Toys,Clothing,BrandA,480.81,0.4,288.49,811,4.32,3328,Supplier_37,India,Mumbai,19,3,0.03,0,2025,2.94,2.6,Black,Plastic,0,931,594,6310,0.13,430.71,90008.88,1080106.56,74159,38007,4578,0.192,211.62,0.89,61,1424.76,9684,4650,0.75,46,20,171,64,3.55,36.99,0.11
2569,Product_2569,Sports,Electronics,BrandB,747.43,0.21,590.47,777,1.89,3294,Supplier_15,China,New York,10,2,0.29,1,2020,33.98,90.13,Blue,Metal,0,31,2227,1891,0.1,575.99,11218.93,134627.16,85410,43610,18625,0.063,113.56,0.67,73,9284.29,7255,3403,1.24,8,50,112,53,2.28,27.37,0.09
2570,Product_2570,Toys,Electronics,BrandB,694.44,0.06,652.77,329,4.77,2426,Supplier_32,Germany,Mumbai,9,2,0.1,1,2020,20.41,69.69,Green,Wood,4,509,1057,1069,0.2,478.04,221289.03,2655468.36,55164,6643,21569,0.143,263.47,0.82,57,9323.16,2622,4648,1.34,6,83,55,-64,1.07,14.75,0.16
2571,Product_2571,Electronics,Electronics,BrandB,128.33,0.5,64.17,331,1.53,10,Supplier_4,India,Berlin,13,6,0.11,0,2022,13.16,82.5,Green,Fabric,4,691,540,1676,0.35,78.45,15272.46,183269.52,37599,34999,28885,0.055,106.3,0.65,64,9156.32,5284,1362,0.98,19,9,106,-81,4.07,28.37,0.23
2572,Product_2572,Sports,Clothing,BrandB,496.86,0.19,402.46,541,1.26,664,Supplier_17,Germany,London,15,13,0.26,0,2020,2.78,46.82,White,Fabric,0,990,683,2184,0.23,255.94,159374.16,1912489.92,75883,17077,25854,0.111,238.18,0.31,65,4933.94,2212,571,0.75,43,57,47,36,4.51,12.49,0.05
2573,Product_2573,Toys,Electronics,BrandB,734.79,0.02,720.09,200,1.81,3227,Supplier_27,Germany,Shanghai,3,13,0.17,0,2012,48.25,39.0,Black,Fabric,0,472,51,1684,0.09,567.68,254911.86,3058942.32,17069,48426,8059,0.102,115.51,0.71,70,8994.81,6161,1889,0.72,27,48,199,1,3.05,33.92,0.12
2574,Product_2574,Sports,Sports,BrandB,434.63,0.01,430.28,512,2.36,1125,Supplier_40,Germany,Shanghai,3,10,0.24,1,2017,14.97,31.86,Red,Plastic,4,485,2966,1385,0.45,241.34,106279.16,1275349.92,6994,49934,28537,0.137,280.36,0.14,94,9727.95,3429,306,1.34,50,1,56,-22,4.33,21.47,0.1
2575,Product_2575,Electronics,Beauty,BrandE,250.48,0.34,165.32,497,3.19,4142,Supplier_8,China,New York,14,13,0.14,1,2014,41.7,21.28,Black,Fabric,1,155,525,5352,0.39,156.7,33559.96,402719.52,71437,3045,16723,0.109,166.01,0.75,83,225.86,6805,1024,1.46,52,15,80,95,4.87,27.11,0.08
2576,Product_2576,Beauty,Home,BrandD,105.69,0.27,77.15,610,4.3,2825,Supplier_17,India,Shanghai,3,12,0.15,0,2012,5.36,99.52,Red,Plastic,0,461,172,3646,0.22,52.91,20367.6,244411.2,70821,14702,18035,0.081,213.55,0.31,75,6831.25,6124,2792,1.26,30,16,157,-45,4.91,33.2,0.13
2577,Product_2577,Home,Electronics,BrandB,697.68,0.42,404.65,509,2.07,1887,Supplier_8,USA,New York,15,8,0.29,1,2021,12.48,37.44,White,Wood,1,723,461,3975,0.49,619.82,110874.1,1330489.2,67003,21332,19903,0.169,89.61,0.69,73,6296.02,4467,4900,0.88,36,31,80,13,2.69,9.8,0.1
2578,Product_2578,Beauty,Sports,BrandC,985.03,0.07,916.08,361,2.47,3924,Supplier_31,USA,New York,13,6,0.29,0,2014,48.61,61.86,Red,Metal,5,785,828,4327,0.46,588.01,411319.92,4935839.04,24988,40475,91,0.093,152.45,0.43,57,7025.71,2555,3500,1.26,9,63,68,52,2.75,41.33,0.13
2579,Product_2579,Electronics,Home,BrandE,869.7,0.47,460.94,478,3.68,2243,Supplier_33,UK,Shanghai,13,7,0.03,1,2021,10.73,20.46,Black,Plastic,4,419,583,5560,0.5,731.43,187141.64,2245699.68,10932,48577,1383,0.068,34.27,0.34,79,2351.61,8714,2132,0.63,42,28,69,72,4.89,44.14,0.21
2580,Product_2580,Clothing,Toys,BrandB,266.36,0.29,189.12,971,1.12,2512,Supplier_10,India,New York,16,13,0.01,0,2017,1.95,48.22,Green,Fabric,3,344,2893,9087,0.2,156.71,10590.72,127088.64,71108,46808,12265,0.162,290.81,0.64,100,8092.9,892,1350,0.54,23,15,166,-42,1.3,46.25,0.08
2581,Product_2581,Sports,Toys,BrandD,809.46,0.35,526.15,79,1.16,1391,Supplier_28,USA,London,7,13,0.14,1,2016,6.01,46.16,Red,Fabric,4,150,1985,5586,0.08,431.99,151531.2,1818374.4,34809,41442,23546,0.043,212.87,0.17,62,4950.08,6794,4187,1.17,3,34,115,99,4.19,17.82,0.14
2582,Product_2582,Sports,Clothing,BrandB,27.52,0.43,15.69,299,4.92,547,Supplier_43,Germany,Berlin,13,10,0.22,0,2019,32.54,87.21,White,Fabric,1,915,2458,8821,0.35,18.37,5193.39,62320.68,14336,25088,20451,0.011,72.3,0.31,83,8734.41,3811,3586,0.61,53,84,75,36,1.94,26.46,0.16
2583,Product_2583,Clothing,Clothing,BrandC,701.14,0.02,687.12,936,4.38,1964,Supplier_50,USA,London,18,4,0.03,0,2013,40.39,94.52,White,Metal,2,293,428,8164,0.1,439.59,122994.48,1475933.76,2675,6082,16540,0.07,121.12,0.19,72,8029.73,290,1555,1.07,31,29,18,58,4.08,20.95,0.23
2584,Product_2584,Electronics,Home,BrandD,269.62,0.25,202.22,594,4.45,1838,Supplier_48,China,London,1,1,0.14,1,2020,12.4,95.74,Green,Metal,3,266,21,2831,0.28,214.47,16784.26,201411.12,30536,14936,27326,0.198,117.6,0.77,59,8575.4,8560,3299,1.43,32,42,51,47,2.65,43.28,0.09
2585,Product_2585,Home,Electronics,BrandE,427.6,0.37,269.39,678,2.97,1996,Supplier_40,China,London,16,13,0.23,1,2024,34.45,23.3,Black,Wood,4,683,2495,8647,0.24,280.1,100482.47,1205789.64,96238,1794,16050,0.145,89.92,0.76,74,2972.32,3312,345,0.66,28,17,12,28,4.38,5.12,0.16
2586,Product_2586,Sports,Clothing,BrandB,23.55,0.37,14.84,91,3.59,1733,Supplier_21,India,Shanghai,8,8,0.17,1,2023,37.76,1.23,Black,Metal,0,787,1737,1278,0.5,20.2,1587.88,19054.56,41,10178,8884,0.131,255.62,0.19,85,8513.66,2654,630,1.26,25,18,148,-36,1.99,23.68,0.14
